group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
asian,1051,461.04,358066.12,0.45,ukb_val,fvc,8,smoke_exposure,false
other,736,433.61,316681.26,0.64,ukb_val,fvc,8,smoke_exposure,false
All,46958,407.00,285478.71,0.67,ukb_val,fvc,9,smoke_exposure,true
white,44562,407.34,286076.04,0.67,ukb_val,fvc,9,smoke_exposure,true
black,609,382.41,239293.37,0.63,ukb_val,fvc,9,smoke_exposure,true
asian,1051,389.17,260046.23,0.60,ukb_val,fvc,9,smoke_exposure,true
other,736,432.03,323845.53,0.63,ukb_val,fvc,9,smoke_exposure,true
All,7323,556.58,514278.34,0.52,nh,fvc,8,smoke_exposure,false
white,2466,474.79,375793.84,0.69,nh,fvc,8,smoke_exposure,false
black,1828,486.47,394469.39,0.53,nh,fvc,8,smoke_exposure,false
asian,198,407.44,262124.02,0.70,nh,fvc,8,smoke_exposure,false
hispanic,2489,705.61,768323.74,0.19,nh,fvc,8,smoke_exposure,false
other,342,522.74,450304.95,0.54,nh,fvc,8,smoke_exposure,false
All,7323,539.33,473471.58,0.55,nh,fvc,9,smoke_exposure,true
white,2466,456.71,346620.46,0.71,nh,fvc,9,smoke_exposure,true
black,1828,503.35,422663.11,0.50,nh,fvc,9,smoke_exposure,true
asian,198,512.91,417329.02,0.53,nh,fvc,9,smoke_exposure,true
hispanic,2489,653.92,647219.58,0.32,nh,fvc,9,smoke_exposure,true
other,342,508.61,427712.06,0.57,nh,fvc,9,smoke_exposure,true
All,3860,555.81,514634.27,0.52,nh3,fvc,8,smoke_exposure,false
white,1293,463.94,357301.41,0.71,nh3,fvc,8,smoke_exposure,false
black,1120,498.51,408855.09,0.52,nh3,fvc,8,smoke_exposure,false
hispanic,1259,700.09,770523.18,0.18,nh3,fvc,8,smoke_exposure,false
other,188,562.79,513250.88,0.48,nh3,fvc,8,smoke_exposure,false
All,3860,517.06,433001.68,0.60,nh3,fvc,9,smoke_exposure,true
white,1293,444.08,322403.65,0.74,nh3,fvc,9,smoke_exposure,true
black,1120,484.95,385702.36,0.55,nh3,fvc,9,smoke_exposure,true
hispanic,1259,622.98,590277.54,0.37,nh3,fvc,9,smoke_exposure,true
other,188,501.09,422194.04,0.57,nh3,fvc,9,smoke_exposure,true
All,3463,620.52,629608.76,0.40,nh4,fvc,8,smoke_exposure,false
white,1173,519.95,435167.61,0.62,nh4,fvc,8,smoke_exposure,false
black,708,683.64,739585.51,0.08,nh4,fvc,8,smoke_exposure,false
asian,198,482.12,381584.82,0.57,nh4,fvc,8,smoke_exposure,false
hispanic,1230,714.32,815258.50,0.14,nh4,fvc,8,smoke_exposure,false
other,154,525.16,441137.94,0.53,nh4,fvc,8,smoke_exposure,false
All,3463,504.87,424806.72,0.60,nh4,fvc,9,smoke_exposure,true
white,1173,480.21,380273.49,0.67,nh4,fvc,9,smoke_exposure,true
black,708,502.10,435617.52,0.46,nh4,fvc,9,smoke_exposure,true
asian,198,421.87,283437.56,0.68,nh4,fvc,9,smoke_exposure,true
hispanic,1230,549.22,495746.00,0.48,nh4,fvc,9,smoke_exposure,true
other,154,457.90,329476.89,0.65,nh4,fvc,9,smoke_exposure,true
All,46958,351.98,212979.17,0.60,ukb_val,fev1,3,height,false
white,44562,344.42,204514.85,0.61,ukb_val,fev1,3,height,false
black,609,570.59,460875.44,-0.05,ukb_val,fev1,3,height,false
asian,1051,517.47,390807.58,0.07,ukb_val,fev1,3,height,false
other,736,392.70,266403.94,0.50,ukb_val,fev1,3,height,false
All,46958,343.21,203027.28,0.62,ukb_val,fev1,4,height,true
white,44562,343.08,203167.63,0.62,ukb_val,fev1,4,height,true
black,609,336.82,187559.14,0.57,ukb_val,fev1,4,height,true
asian,1051,322.32,173347.71,0.59,ukb_val,fev1,4,height,true
other,736,386.31,249710.56,0.53,ukb_val,fev1,4,height,true
All,7323,447.90,323662.24,0.55,nh,fev1,3,height,false
white,2466,456.56,336623.24,0.59,nh,fev1,3,height,false
black,1828,387.24,251012.56,0.58,nh,fev1,3,height,false
asian,198,381.19,239765.63,0.64,nh,fev1,3,height,false
hispanic,2489,492.13,374863.13,0.43,nh,fev1,3,height,false
other,342,426.40,294464.42,0.58,nh,fev1,3,height,false
All,7323,513.75,410845.41,0.43,nh,fev1,4,height,true
white,2466,418.69,285732.89,0.65,nh,fev1,4,height,true
black,1828,526.26,429329.20,0.28,nh,fev1,4,height,true
asian,198,548.52,437982.34,0.34,nh,fev1,4,height,true
hispanic,2489,601.73,525299.06,0.20,nh,fev1,4,height,true
other,342,471.76,365497.20,0.47,nh,fev1,4,height,true
All,3860,458.99,337285.18,0.54,nh3,fev1,3,height,false
white,1293,454.38,334598.09,0.60,nh3,fev1,3,height,false
black,1120,382.70,244304.40,0.60,nh3,fev1,3,height,false
hispanic,1259,538.88,431798.38,0.34,nh3,fev1,3,height,false
other,188,410.12,276757.27,0.60,nh3,fev1,3,height,false
All,3860,532.35,437299.31,0.40,nh3,fev1,4,height,true
white,1293,413.28,280605.29,0.66,nh3,fev1,4,height,true
black,1120,540.78,448046.01,0.26,nh3,fev1,4,height,true
hispanic,1259,658.39,602828.41,0.08,nh3,fev1,4,height,true
other,188,456.84,342447.85,0.50,nh3,fev1,4,height,true
All,3463,435.55,308477.57,0.57,nh4,fev1,3,height,false
white,1173,458.97,338855.57,0.57,nh4,fev1,3,height,false
black,708,394.43,261624.33,0.55,nh4,fev1,3,height,false
asian,198,381.19,239765.63,0.64,nh4,fev1,3,height,false
hispanic,1230,444.28,316585.49,0.51,nh4,fev1,3,height,false
other,154,446.28,316080.93,0.54,nh4,fev1,3,height,false
All,3463,493.01,381358.83,0.47,nh4,fev1,4,height,true
white,1173,424.65,291385.05,0.63,nh4,fev1,4,height,true
black,708,503.29,399720.67,0.31,nh4,fev1,4,height,true
asian,198,548.52,437982.34,0.34,nh4,fev1,4,height,true
hispanic,1230,543.73,445941.78,0.30,nh4,fev1,4,height,true
other,154,489.99,393635.37,0.43,nh4,fev1,4,height,true
All,46958,350.84,211690.18,0.60,ukb_val,fev1,4,sit_height,false
white,44562,345.07,205446.81,0.61,ukb_val,fev1,4,sit_height,false
black,609,512.09,386019.93,0.12,ukb_val,fev1,4,sit_height,false
asian,1051,482.12,349391.75,0.17,ukb_val,fev1,4,sit_height,false
other,736,379.54,248817.38,0.53,ukb_val,fev1,4,sit_height,false
All,46958,343.38,203324.36,0.62,ukb_val,fev1,5,sit_height,true
white,44562,343.47,203650.17,0.61,ukb_val,fev1,5,sit_height,true
black,609,338.49,190992.35,0.56,ukb_val,fev1,5,sit_height,true
asian,1051,318.88,170962.95,0.59,ukb_val,fev1,5,sit_height,true
other,736,376.50,240013.51,0.55,ukb_val,fev1,5,sit_height,true
All,7323,442.93,316112.66,0.56,nh,fev1,4,sit_height,false
white,2466,438.81,313920.93,0.61,nh,fev1,4,sit_height,false
black,1828,375.56,237153.78,0.60,nh,fev1,4,sit_height,false
asian,198,374.87,239962.91,0.64,nh,fev1,4,sit_height,false
hispanic,2489,504.09,385899.02,0.41,nh,fev1,4,sit_height,false
other,342,427.03,290150.91,0.58,nh,fev1,4,sit_height,false
All,7323,491.48,380149.35,0.47,nh,fev1,5,sit_height,true
white,2466,410.54,276475.48,0.66,nh,fev1,5,sit_height,true
black,1828,502.47,407316.84,0.32,nh,fev1,5,sit_height,true
asian,198,570.31,471754.41,0.29,nh,fev1,5,sit_height,true
hispanic,2489,562.88,462089.98,0.29,nh,fev1,5,sit_height,true
other,342,451.16,333101.31,0.52,nh,fev1,5,sit_height,true
All,3860,453.77,328329.69,0.55,nh3,fev1,4,sit_height,false
white,1293,435.36,310031.27,0.63,nh3,fev1,4,sit_height,false
black,1120,379.80,238015.64,0.61,nh3,fev1,4,sit_height,false
hispanic,1259,545.38,436212.04,0.33,nh3,fev1,4,sit_height,false
other,188,407.71,269753.77,0.61,nh3,fev1,4,sit_height,false
All,3860,508.15,403409.39,0.44,nh3,fev1,5,sit_height,true
white,1293,408.40,276273.66,0.67,nh3,fev1,5,sit_height,true
black,1120,519.36,426907.80,0.30,nh3,fev1,5,sit_height,true
hispanic,1259,611.00,526665.35,0.19,nh3,fev1,5,sit_height,true
other,188,438.60,312393.56,0.55,nh3,fev1,5,sit_height,true
All,3463,465.68,345218.66,0.52,nh4,fev1,4,sit_height,false
white,1173,419.90,280467.21,0.64,nh4,fev1,4,sit_height,false
black,708,601.40,532988.69,0.09,nh4,fev1,4,sit_height,false
asian,198,470.45,361113.78,0.46,nh4,fev1,4,sit_height,false
hispanic,1230,427.40,294665.46,0.54,nh4,fev1,4,sit_height,false
other,154,489.87,358500.92,0.48,nh4,fev1,4,sit_height,false
All,3463,438.12,310469.57,0.57,nh4,fev1,5,sit_height,true
white,1173,436.77,294635.72,0.63,nh4,fev1,5,sit_height,true
black,708,487.49,382294.33,0.34,nh4,fev1,5,sit_height,true
asian,198,469.71,369174.78,0.45,nh4,fev1,5,sit_height,true
hispanic,1230,405.70,275050.71,0.57,nh4,fev1,5,sit_height,true
other,154,439.74,308279.52,0.55,nh4,fev1,5,sit_height,true
All,46958,345.69,205105.95,0.62,ukb_val,fev1,5,waist_circ,false
white,44562,340.26,199266.69,0.62,ukb_val,fev1,5,waist_circ,false
black,609,488.34,356802.83,0.18,ukb_val,fev1,5,waist_circ,false
asian,1051,475.82,341543.56,0.18,ukb_val,fev1,5,waist_circ,false
other,736,370.40,238298.77,0.55,ukb_val,fev1,5,waist_circ,false
All,46958,338.11,196757.57,0.63,ukb_val,fev1,6,waist_circ,true
white,44562,338.22,197191.37,0.63,ukb_val,fev1,6,waist_circ,true
black,609,328.47,178770.50,0.59,ukb_val,fev1,6,waist_circ,true
asian,1051,315.48,164865.72,0.61,ukb_val,fev1,6,waist_circ,true
other,736,371.49,230917.07,0.57,ukb_val,fev1,6,waist_circ,true
All,7323,452.15,327521.92,0.55,nh,fev1,5,waist_circ,false
white,2466,445.76,322584.91,0.60,nh,fev1,5,waist_circ,false
black,1828,361.25,221879.21,0.63,nh,fev1,5,waist_circ,false
asian,198,354.63,208846.03,0.69,nh,fev1,5,waist_circ,false
