group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
All,3354,482.60,470.65,494.72,377929.65,359695.94,395617.80,0.60,0.58,0.62,nh,fvc,10,smoke_exposure,True,xgboost
white,1330,436.00,415.81,455.54,316659.12,287102.25,345988.57,0.70,0.67,0.72,nh,fvc,10,smoke_exposure,True,xgboost
black,739,431.34,405.84,455.73,308763.23,273294.04,345205.61,0.58,0.53,0.63,nh,fvc,10,smoke_exposure,True,xgboost
asian,88,459.56,383.55,542.28,356401.63,253563.29,475794.73,0.52,0.38,0.63,nh,fvc,10,smoke_exposure,True,xgboost
hispanic,1049,581.44,557.40,605.79,510223.54,469488.08,549814.98,0.37,0.31,0.42,nh,fvc,10,smoke_exposure,True,xgboost
other,148,474.76,418.02,533.38,360110.45,282829.07,444727.33,0.51,0.36,0.63,nh,fvc,10,smoke_exposure,True,xgboost
All,1569,470.98,453.16,489.86,367430.92,340299.11,397386.19,0.61,0.58,0.64,nh3,fvc,10,smoke_exposure,True,xgboost
white,697,426.52,401.21,454.36,310511.97,270148.97,353365.04,0.69,0.65,0.72,nh3,fvc,10,smoke_exposure,True,xgboost
black,367,443.50,409.78,476.92,324247.03,276442.12,372166.51,0.62,0.56,0.67,nh3,fvc,10,smoke_exposure,True,xgboost
hispanic,420,561.67,523.55,604.84,491222.82,429063.41,559908.31,0.37,0.27,0.47,nh3,fvc,10,smoke_exposure,True,xgboost
other,85,506.11,422.89,586.49,411161.39,301682.26,535318.32,0.42,0.16,0.62,nh3,fvc,10,smoke_exposure,True,xgboost
All,1785,492.97,474.53,510.42,387629.17,359619.63,412356.98,0.59,0.55,0.62,nh4,fvc,10,smoke_exposure,True,xgboost
white,633,446.32,419.68,475.64,323520.90,285310.76,366596.47,0.70,0.65,0.73,nh4,fvc,10,smoke_exposure,True,xgboost
black,372,418.59,383.28,453.24,292244.47,244977.15,342722.30,0.53,0.44,0.61,nh4,fvc,10,smoke_exposure,True,xgboost
asian,88,459.56,383.55,542.28,356401.63,253563.29,475794.73,0.52,0.38,0.63,nh4,fvc,10,smoke_exposure,True,xgboost
hispanic,629,594.04,562.70,626.92,521937.46,473168.61,572724.16,0.37,0.28,0.43,nh4,fvc,10,smoke_exposure,True,xgboost
other,63,433.04,360.67,513.42,292158.42,205573.73,393600.89,0.59,0.43,0.72,nh4,fvc,10,smoke_exposure,True,xgboost
All,43260,407.58,404.68,410.85,284425.78,279632.56,289645.51,0.67,0.66,0.67,ukb_val,fvc,4,GLI global,True,gli_global
white,40956,407.57,404.48,410.64,284221.83,279202.96,288983.69,0.66,0.66,0.67,ukb_val,fvc,4,GLI global,True,gli_global
black,589,406.28,378.83,434.36,295498.48,251177.49,347897.99,0.51,0.44,0.57,ukb_val,fvc,4,GLI global,True,gli_global
asian,1017,386.31,365.41,407.44,265096.98,222674.97,324337.09,0.56,0.51,0.60,ukb_val,fvc,4,GLI global,True,gli_global
other,698,436.97,412.57,463.68,313497.86,275924.97,355181.75,0.60,0.55,0.65,ukb_val,fvc,4,GLI global,True,gli_global
All,3354,423.44,412.30,434.54,295259.40,279777.42,310690.04,0.69,0.67,0.70,nh,fvc,4,GLI global,True,gli_global
white,1330,405.07,387.06,422.14,271241.84,248469.17,294579.31,0.74,0.72,0.76,nh,fvc,4,GLI global,True,gli_global
black,739,434.46,409.63,459.34,314798.90,277340.72,352561.87,0.58,0.53,0.61,nh,fvc,4,GLI global,True,gli_global
asian,88,478.83,407.16,554.30,355856.07,259775.60,466540.25,0.52,0.40,0.62,nh,fvc,4,GLI global,True,gli_global
hispanic,1049,433.78,413.72,453.91,308140.51,283123.71,336278.66,0.62,0.59,0.65,nh,fvc,4,GLI global,True,gli_global
other,148,431.38,376.43,484.58,292939.91,232540.86,356632.54,0.60,0.51,0.68,nh,fvc,4,GLI global,True,gli_global
All,1569,433.63,416.46,451.80,311952.87,289073.56,337494.08,0.67,0.64,0.69,nh3,fvc,4,GLI global,True,gli_global
white,697,405.65,380.55,431.35,276659.31,243292.95,310699.98,0.72,0.69,0.75,nh3,fvc,4,GLI global,True,gli_global
black,367,453.65,416.08,492.66,345537.75,291375.37,400044.01,0.59,0.54,0.64,nh3,fvc,4,GLI global,True,gli_global
hispanic,420,453.91,419.00,489.17,332549.10,292057.60,380695.07,0.58,0.52,0.63,nh3,fvc,4,GLI global,True,gli_global
other,85,478.84,405.95,555.40,356204.91,264729.60,450482.02,0.50,0.34,0.63,nh3,fvc,4,GLI global,True,gli_global
All,1785,414.58,398.91,429.51,280940.96,261927.15,301056.84,0.70,0.68,0.72,nh4,fvc,4,GLI global,True,gli_global
white,633,404.11,381.05,430.63,265535.34,235120.49,300621.44,0.75,0.72,0.78,nh4,fvc,4,GLI global,True,gli_global
black,372,415.24,380.53,450.69,283245.74,237808.02,332771.76,0.55,0.47,0.61,nh4,fvc,4,GLI global,True,gli_global
asian,88,478.83,407.16,554.30,355856.07,259775.60,466540.25,0.52,0.40,0.62,nh4,fvc,4,GLI global,True,gli_global
hispanic,629,419.81,394.24,447.01,291231.08,258850.27,327132.56,0.65,0.61,0.68,nh4,fvc,4,GLI global,True,gli_global
other,63,367.47,303.26,436.63,208630.77,146618.56,282853.04,0.71,0.60,0.79,nh4,fvc,4,GLI global,True,gli_global
All,43260,423.78,420.53,426.97,307809.43,302517.75,313012.85,0.64,0.63,0.65,ukb_val,fvc,3,height,False,xgboost
white,40956,411.56,408.33,414.75,290041.66,284883.01,294929.98,0.66,0.65,0.66,ukb_val,fvc,3,height,False,xgboost
black,589,753.22,713.78,795.36,818574.44,734433.36,911191.89,-0.35,-0.58,-0.15,ukb_val,fvc,3,height,False,xgboost
asian,1017,697.13,670.98,725.50,692710.79,638927.67,755744.38,-0.16,-0.32,-0.02,ukb_val,fvc,3,height,False,xgboost
other,698,459.08,431.01,486.66,355029.92,311116.65,401003.87,0.54,0.47,0.61,ukb_val,fvc,3,height,False,xgboost
All,3354,461.04,449.77,472.74,348107.80,330288.63,366889.45,0.63,0.61,0.65,nh,fvc,3,height,False,xgboost
white,1330,437.22,417.91,456.71,311457.81,285661.90,338412.58,0.70,0.67,0.73,nh,fvc,3,height,False,xgboost
black,739,590.68,559.87,622.27,541568.59,491171.14,596981.46,0.27,0.16,0.37,nh,fvc,3,height,False,xgboost
asian,88,479.03,401.95,560.84,379881.63,267820.37,511275.93,0.49,0.27,0.65,nh,fvc,3,height,False,xgboost
hispanic,1049,397.28,379.85,415.80,258408.73,234432.04,281043.45,0.68,0.65,0.71,nh,fvc,3,height,False,xgboost
other,148,481.28,427.07,542.93,344571.88,279088.36,414352.36,0.53,0.38,0.63,nh,fvc,3,height,False,xgboost
All,1569,475.37,457.73,492.95,370542.65,340871.48,398291.94,0.61,0.57,0.64,nh3,fvc,3,height,False,xgboost
white,697,443.36,417.24,468.08,324143.77,288765.68,361001.73,0.67,0.64,0.71,nh3,fvc,3,height,False,xgboost
black,367,593.91,548.40,641.31,554915.77,472766.86,638711.89,0.35,0.21,0.47,nh3,fvc,3,height,False,xgboost
hispanic,420,417.95,387.20,450.84,284100.61,247987.33,325344.61,0.64,0.58,0.69,nh3,fvc,3,height,False,xgboost
other,85,515.61,444.86,589.85,392673.25,305677.36,487244.26,0.45,0.22,0.61,nh3,fvc,3,height,False,xgboost
All,1785,448.82,431.40,465.45,329296.35,303984.94,353779.40,0.65,0.62,0.68,nh4,fvc,3,height,False,xgboost
white,633,430.26,405.56,457.69,297843.76,261908.52,336953.56,0.72,0.68,0.76,nh4,fvc,3,height,False,xgboost
black,372,586.93,546.71,632.20,528790.01,460111.39,607827.69,0.15,-0.05,0.31,nh4,fvc,3,height,False,xgboost
asian,88,479.03,401.95,560.84,379881.63,267820.37,511275.93,0.49,0.27,0.65,nh4,fvc,3,height,False,xgboost
hispanic,629,383.47,360.59,406.32,241010.80,214005.61,270506.96,0.71,0.67,0.74,nh4,fvc,3,height,False,xgboost
other,63,436.40,363.09,508.23,280837.52,201154.01,364054.56,0.61,0.43,0.73,nh4,fvc,3,height,False,xgboost
All,43260,421.87,418.70,425.22,304616.63,299421.62,309992.82,0.64,0.64,0.65,ukb_val,fvc,4,sit_height,False,xgboost
white,40956,412.48,409.27,415.71,291377.69,286317.81,296599.62,0.65,0.65,0.66,ukb_val,fvc,4,sit_height,False,xgboost
black,589,662.57,625.79,701.92,674170.82,599174.29,758910.64,-0.12,-0.30,0.06,ukb_val,fvc,4,sit_height,False,xgboost
asian,1017,645.05,619.22,671.74,605206.59,556923.94,665009.82,-0.02,-0.15,0.10,ukb_val,fvc,4,sit_height,False,xgboost
other,698,440.40,413.15,468.31,328692.08,287377.96,374453.09,0.58,0.51,0.64,ukb_val,fvc,4,sit_height,False,xgboost
All,3354,463.47,451.40,475.87,351160.54,333699.58,368543.58,0.63,0.60,0.65,nh,fvc,4,sit_height,False,xgboost
