group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
black,372,510.02,429680.45,-0.03,nh4,fev1,3,Height,False
asian,88,404.47,283722.76,0.38,nh4,fev1,3,Height,False
hispanic,629,335.14,187016.82,0.64,nh4,fev1,3,Height,False
other,63,423.72,284682.15,0.41,nh4,fev1,3,Height,False
All,471,359.51,209999.20,0.63,nh3_val,fev1,5,Sit Height,True
white,209,362.86,212752.67,0.64,nh3_val,fev1,5,Sit Height,True
black,110,355.35,196738.28,0.63,nh3_val,fev1,5,Sit Height,True
hispanic,126,346.88,206214.97,0.60,nh3_val,fev1,5,Sit Height,True
other,26,411.31,262308.34,0.40,nh3_val,fev1,5,Sit Height,True
All,144198,419.33,290637.03,0.44,ukb,fev1,5,Sit Height,True
white,136520,417.40,288211.95,0.44,ukb,fev1,5,Sit Height,True
black,1963,446.19,332236.32,0.16,ukb,fev1,5,Sit Height,True
asian,3389,464.40,343207.83,0.12,ukb,fev1,5,Sit Height,True
other,2326,444.26,321269.20,0.35,ukb,fev1,5,Sit Height,True
All,3354,307.24,206960.57,0.64,nh,fev1,5,Sit Height,True
white,1330,280.88,174801.52,0.73,nh,fev1,5,Sit Height,True
black,739,341.52,274739.09,0.42,nh,fev1,5,Sit Height,True
asian,88,522.18,478095.58,-0.05,nh,fev1,5,Sit Height,True
hispanic,1049,297.51,176525.76,0.66,nh,fev1,5,Sit Height,True
other,148,314.08,212024.45,0.57,nh,fev1,5,Sit Height,True
All,1785,444.63,329036.01,0.43,nh4,fev1,5,Sit Height,True
white,633,423.64,291364.91,0.55,nh4,fev1,5,Sit Height,True
black,372,532.11,483009.05,-0.16,nh4,fev1,5,Sit Height,True
asian,88,522.18,478095.58,-0.05,nh4,fev1,5,Sit Height,True
hispanic,629,397.20,249688.70,0.52,nh4,fev1,5,Sit Height,True
other,63,504.22,382370.21,0.20,nh4,fev1,5,Sit Height,True
All,471,367.75,219013.36,0.62,nh3_val,fev1,4,Sit Height,False
white,209,375.25,229258.86,0.62,nh3_val,fev1,4,Sit Height,False
black,110,400.03,231586.39,0.56,nh3_val,fev1,4,Sit Height,False
hispanic,126,329.52,193898.41,0.62,nh3_val,fev1,4,Sit Height,False
